subj	block	trial	run_index	voc_chan	gap_len	attn	hit	miss	fals	crej	frsp	slot	attn_lett	mask_lett	targ	foil	press	onset	press_time	reax_time
12	9	27	152	10	long	switch	False	False	False	True	False	1	P	E	False	False	False	0.5		
12	9	27	152	10	long	switch	True	False	False	False	False	2	O	V	True	False	True	1.6	2.0064061604	0.4064061604
12	9	27	152	10	long	switch	False	False	False	True	False	3	V	P	False	False	False	2.1		
12	9	28	86	10	short	switch	False	False	False	True	False	0	G	E	False	False	False	0.0		
12	9	28	86	10	short	switch	True	False	False	False	False	1	O	G	True	False	True	0.5	0.947177848775	0.447177848775
12	9	28	86	10	short	switch	False	False	False	True	False	2	E	P	False	False	False	1.2		
12	9	28	86	10	short	switch	True	False	False	False	False	3	O	D	True	False	True	1.7	2.10356352912	0.403563529123
12	9	29	89	10	short	switch	True	False	False	False	False	0	O	P	True	False	True	0.0	0.630883919063	0.630883919063
12	9	29	89	10	short	switch	False	False	False	True	False	1	E	D	False	False	False	0.5		
12	9	29	89	10	short	switch	True	False	False	False	False	2	O	E	True	False	True	1.2	1.7382403539	0.538240353895
12	9	29	89	10	short	switch	False	False	False	True	False	3	D	V	False	False	False	1.7		
12	9	30	7	10	short	maint.	False	False	False	True	False	0	D	O	False	True	False	0.0		
12	9	30	7	10	short	maint.	False	False	False	True	False	1	G	E	False	False	False	0.5		
12	9	30	7	10	short	maint.	True	False	False	False	False	2	O	P	True	False	True	1.2	1.69547800442	0.495478004424
12	9	30	7	10	short	maint.	False	False	False	True	False	3	E	V	False	False	False	1.7		
12	9	31	153	10	long	switch	False	False	False	True	False	0	E	O	False	True	False	0.0		
12	9	31	153	10	long	switch	False	False	False	True	False	1	V	D	False	False	False	0.5		
12	9	31	153	10	long	switch	True	False	False	False	False	2	O	P	True	False	True	1.6	1.99080036045	0.390800360449
12	9	31	153	10	long	switch	False	False	False	True	False	3	G	E	False	False	False	2.1		
13	0	0	159	10	long	switch	False	False	False	True	False	0	P	O	False	True	False	0.0		
13	0	0	159	10	long	switch	False	False	False	True	False	1	D	V	False	False	False	0.5		
13	0	0	159	10	long	switch	False	False	False	True	False	2	E	D	False	False	False	1.6		
13	0	0	159	10	long	switch	False	False	True	False	True	3	V	O	False	True	True	2.1	2.31811255837	0.218112558368
13	0	1	67	10	long	maint.	False	False	False	True	False	0	G	V	False	False	False	0.0		
13	0	1	67	10	long	maint.	False	False	True	False	True	1	P	O	False	True	True	0.5	1.0013271074	0.501327107397
13	0	1	67	10	long	maint.	True	False	False	False	False	2	O	G	True	False	True	1.6	2.2719914803	0.671991480298
13	0	1	67	10	long	maint.	False	False	False	True	False	3	E	D	False	False	False	2.1		
13	0	2	68	10	long	maint.	False	False	False	True	False	0	E	V	False	False	False	0.0		
13	0	2	68	10	long	maint.	False	False	True	False	True	1	V	O	False	True	True	0.5	1.02352748423	0.52352748423
13	0	2	68	10	long	maint.	False	True	False	False	False	2	O	D	True	False	False	1.6		
13	0	2	68	10	long	maint.	False	False	False	True	False	3	G	P	False	False	False	2.1		
13	0	3	80	10	short	switch	True	False	False	False	False	0	O	D	True	False	True	0.0	0.825403457033	0.825403457033
13	0	3	80	10	short	switch	False	False	False	True	False	1	E	P	False	False	False	0.5		
13	0	3	80	10	short	switch	True	False	False	False	False	2	O	G	True	False	True	1.2	1.91694929139	0.71694929139
13	0	3	80	10	short	switch	False	False	False	True	False	3	P	V	False	False	False	1.7		
13	0	4	81	10	short	switch	True	False	False	False	False	0	O	G	True	False	True	0.0	0.681674449087	0.681674449087
13	0	4	81	10	short	switch	False	False	False	True	False	1	D	V	False	False	False	0.5		
13	0	4	81	10	short	switch	False	False	False	True	False	2	E	P	False	False	False	1.2		
13	0	4	81	10	short	switch	True	False	False	False	False	3	O	D	True	False	True	1.7	2.12576390596	0.425763905956
13	0	5	102	10	long	switch	False	False	False	True	False	0	D	V	False	False	False	0.0		
13	0	5	102	10	long	switch	True	False	False	False	False	1	O	E	True	False	True	0.5	1.29460145818	0.79460145818
13	0	5	102	10	long	switch	False	False	True	False	False	2	V	G	False	False	True	1.6	2.19764888998	0.597648889981
13	0	5	102	10	long	switch	False	True	False	False	False	3	O	D	True	False	False	2.1		
13	0	6	22	10	long	maint.	False	False	False	True	False	0	E	D	False	False	False	0.0		
13	0	6	22	10	long	maint.	False	True	False	False	False	1	O	P	True	False	False	0.5		
13	0	6	22	10	long	maint.	False	False	True	False	False	2	V	G	False	False	True	1.6	1.85894978291	0.258949782911
13	0	6	22	10	long	maint.	False	False	False	True	False	3	G	O	False	True	False	2.1		
13	0	7	16	10	short	maint.	True	False	False	False	False	0	O	E	True	False	True	0.0	0.643294830835	0.643294830835
13	0	7	16	10	short	maint.	False	False	False	True	False	1	P	D	False	False	False	0.5		
