subj	block	trial	run_index	voc_chan	gap_len	attn	hits	misses	false_alarms	corr_rej	press_times	targ_letters	mask_letters
01	1	6	82	10	short	switch	1	0	0	3	[0.9454165642664045]	['V' 'O' 'D' 'G']	['D' 'G' 'E' 'O']
01	1	7	143	20	long	switch	1	0	0	3	[0.9545097075448514]	['P' 'O' 'V' 'D']	['D' 'G' 'P' 'O']
01	1	8	43	20	short	maint	1	0	0	3	[0.9414024739903337]	['G' 'O' 'V' 'P']	['V' 'E' 'O' 'D']
01	1	9	147	20	long	switch	1	0	1	2	[0.9367330220365364, 2.245695092979438]	['G' 'E' 'O' 'D']	['V' 'O' 'E' 'P']
01	1	10	82	20	short	switch	1	0	0	3	[0.8907348242811501]	['V' 'O' 'D' 'G']	['D' 'G' 'E' 'O']
01	1	11	33	20	long	maint	2	0	0	2	[0.6310477594822643, 1.7241091177193413]	['O' 'D' 'O' 'V']	['V' 'P' 'D' 'G']
01	1	12	76	20	long	maint	2	0	0	2	[0.5997542393708528, 2.3106168591791594]	['O' 'P' 'O' 'G']	['P' 'G' 'V' 'E']
01	1	13	48	20	short	maint	1	0	0	3	[2.223330875727042]	['G' 'E' 'O' 'D']	['O' 'G' 'D' 'P']
01	1	14	130	20	short	switch	0	1	0	4	[]	['D' 'V' 'O' 'G']	['O' 'G' 'V' 'E']
01	1	15	118	20	long	switch	1	0	0	3	[2.098484476120259]	['P' 'G' 'E' 'O']	['O' 'D' 'V' 'E']
01	1	16	90	20	short	switch	1	0	0	3	[1.6787253215368234]	['G' 'E' 'O' 'V']	['O' 'P' 'V' 'D']
01	1	17	10	20	short	maint	2	0	0	2	[0.5961497501433604, 2.19588760547227]	['O' 'G' 'O' 'V']	['G' 'D' 'V' 'P']
01	1	18	111	10	long	switch	2	0	0	2	[0.7464733349717374, 1.6656590480871634]	['O' 'G' 'O' 'D']	['G' 'E' 'D' 'P']
01	1	19	90	10	short	switch	1	0	0	3	[1.609052183173589]	['G' 'E' 'O' 'V']	['O' 'P' 'V' 'D']
01	1	20	48	10	short	maint	0	1	0	4	[]	['G' 'E' 'O' 'D']	['O' 'G' 'D' 'P']
01	1	21	143	10	long	switch	1	0	1	2	[0.9794544114032933, 2.5578520521012535]	['P' 'O' 'V' 'D']	['D' 'G' 'P' 'O']
01	1	22	54	10	short	maint	1	0	0	3	[2.330031948881789]	['D' 'P' 'O' 'E']	['O' 'E' 'V' 'G']
01	1	23	34	10	long	maint	1	0	0	3	[1.6811010076185795]	['P' 'G' 'O' 'V']	['O' 'V' 'P' 'G']
01	1	24	34	20	long	maint	1	0	0	3	[1.6992872941754733]	['P' 'G' 'O' 'V']	['O' 'V' 'P' 'G']
01	1	25	54	20	short	maint	1	0	0	3	[2.3995822069304498]	['D' 'P' 'O' 'E']	['O' 'E' 'V' 'G']
01	1	26	76	10	long	maint	2	0	0	2	[0.6023347259768985, 2.067354796428279]	['O' 'P' 'O' 'G']	['P' 'G' 'V' 'E']
01	1	27	147	10	long	switch	1	0	0	3	[2.599672319161137]	['G' 'E' 'O' 'D']	['V' 'O' 'E' 'P']
01	1	28	118	10	long	switch	1	0	0	3	[2.2742033259605146]	['P' 'G' 'E' 'O']	['O' 'D' 'V' 'E']
01	1	29	134	10	short	switch	1	0	0	3	[2.1135577947079547]	['E' 'V' 'O' 'G']	['V' 'O' 'G' 'D']
01	1	30	134	20	short	switch	1	0	0	3	[2.1129024330302286]	['E' 'V' 'O' 'G']	['V' 'O' 'G' 'D']
01	1	31	4	20	short	maint	1	0	0	3	[0.8987630048332926]	['E' 'O' 'P' 'D']	['G' 'D' 'E' 'O']
01	2	0	114	20	long	switch	1	0	0	3	[1.7431555664782503]	['D' 'V' 'O' 'G']	['O' 'P' 'G' 'D']
01	2	1	129	20	short	switch	2	0	0	2	[0.5409355287949538, 2.1123699516670764]	['O' 'E' 'O' 'P']	['G' 'P' 'E' 'V']
01	2	2	127	20	short	switch	1	0	0	3	[2.0354878348488574]	['P' 'G' 'O' 'D']	['V' 'O' 'P' 'G']
01	2	3	71	20	long	maint	1	0	1	2	[0.9314901286147292, 2.1204800524289342]	['D' 'V' 'O' 'G']	['V' 'O' 'G' 'E']
01	2	4	42	20	short	maint	1	0	0	3	[0.9819120176947655]	['G' 'O' 'P' 'D']	['V' 'P' 'O' 'G']
01	2	5	77	20	long	maint	2	0	0	2	[0.48875235520602933, 2.539911526173507]	['O' 'D' 'P' 'O']	['E' 'V' 'G' 'D']
01	2	6	99	20	short	switch	0	0	1	3	[2.109625624641599]	['G' 'P' 'D' 'E']	['O' 'D' 'E' 'O']
01	2	7	105	20	long	switch	2	0	0	2	[0.9425493569263539, 2.2608093716719915]	['G' 'O' 'V' 'O']	['V' 'D' 'G' 'E']
01	2	8	95	20	short	switch	2	0	0	2	[0.7226345539444581, 1.761259932825428]	['O' 'G' 'O' 'V']	['V' 'E' 'D' 'P']
01	2	9	29	20	long	maint	0	2	0	4	[]	['O' 'V' 'O' 'P']	['V' 'P' 'G' 'D']
01	2	10	42	10	short	maint	1	0	0	3	[0.9088801507331858]	['G' 'O' 'P' 'D']	['V' 'P' 'O' 'G']
01	2	11	122	10	short	switch	2	0	0	2	[0.9550831490128617, 2.531555664782502]	['E' 'O' 'P' 'O']	['P' 'V' 'D' 'E']
01	2	12	73	20	long	maint	2	0	0	2	[0.6560334234455643, 2.1444417137707874]	['O' 'E' 'O' 'G']	['P' 'V' 'E' 'D']
01	2	13	148	20	long	switch	1	0	1	2	[0.9087982305234701, 2.2885393626607686]	['D' 'E' 'O' 'V']	['V' 'O' 'E' 'P']
01	2	14	23	20	long	maint	1	0	0	3	[0.9357090194150897]	['G' 'O' 'E' 'V']	['E' 'P' 'V' 'O']
01	2	15	73	10	long	maint	1	1	0	3	[2.0057917588269025]	['O' 'E' 'O' 'G']	['P' 'V' 'E' 'D']
01	2	16	71	10	long	maint	1	0	0	3	[2.1058163348898176]	['D' 'V' 'O' 'G']	['V' 'O' 'G' 'E']
