,chsq_peak,raw
count,16.0,4627.0
mean,0.580865145319,0.6482298799
std,0.0593069952314,0.263645456002
min,0.49278128502,0.300319488818
25%,0.542724098643,0.472155320717
50%,0.579212819274,0.591275497665
75%,0.609975775788,0.777295813877
max,0.688704908908,3.05052019333
