,chsq_peak,raw
count,16.0,5891.0
mean,0.5454031806,0.581114292014
std,0.0729992226561,0.175241813519
min,0.434125168919,0.106987793889
25%,0.501603312987,0.447100024576
50%,0.52462354132,0.550872450233
75%,0.598433343738,0.689518309167
max,0.692004753803,1.69564184484
